Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Vsource.SOURCE,    60.1357,   170.68,    54.7808,    52.59,    59.2879,   -63.93,          0,     0.00, 7.70702E-009,  -104.82,    60.1357,    -9.32,    54.7808,  -127.41,    59.2879,   116.07,          0,     0.00, 7.70702E-009,    75.18,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.HVMV_SUB_CONNECTOR,    553.193,   -38.17,    535.441,  -159.42,    501.903,    87.27,          0,     0.00,    51.2808,  -145.89,    553.193,   141.83,    535.441,    20.58,    501.903,   -92.73,          0,     0.00,    51.2808,    34.11,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5502549-1,     1.9602,   177.88,          0,     0.00,          0,     0.00,          0,     0.00,     1.9602,   177.88,    1.96034,    -2.13,          0,     0.00,          0,     0.00,          0,     0.00,    1.96034,    -2.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6259988-1,    1.45542,    65.36,          0,     0.00,          0,     0.00,          0,     0.00,    1.45542,    65.36,    1.45592,  -114.71,          0,     0.00,          0,     0.00,          0,     0.00,    1.45592,  -114.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077796-1,    1.69669,   179.62,          0,     0.00,          0,     0.00,          0,     0.00,    1.69669,   179.62,    1.69674,    -0.39,          0,     0.00,          0,     0.00,          0,     0.00,    1.69674,    -0.39,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5835135-2,    16.6451,   178.12,          0,     0.00,          0,     0.00,          0,     0.00,    16.6451,   178.12,    16.6453,    -1.88,          0,     0.00,          0,     0.00,          0,     0.00,    16.6453,    -1.88,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5896826-1,   0.831637,  -171.28,          0,     0.00,          0,     0.00,          0,     0.00,   0.831637,  -171.28,   0.832581,     8.48,          0,     0.00,          0,     0.00,          0,     0.00,   0.832581,     8.48,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5714038-1,    2.20304,  -175.08,          0,     0.00,          0,     0.00,          0,     0.00,    2.20304,  -175.08,    2.20349,     4.87,          0,     0.00,          0,     0.00,          0,     0.00,    2.20349,     4.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5653457-1,    20.0262,   -59.73,     42.189,   177.88,    16.0405,    64.64,          0,     0.00,    25.2256,  -177.18,    20.0268,   120.26,    42.1898,    -2.12,    16.0409,  -115.37,          0,     0.00,    25.2256,     2.82,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5835173-1,    28.5492,   -59.12,    63.6501,   178.04,    48.6672,    63.99,          0,     0.00,     34.947,   142.21,    28.5495,   120.88,    63.6505,    -1.96,    48.6674,  -116.01,          0,     0.00,     34.947,   -37.79,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6321415-1,    1.43354,  -173.75,          0,     0.00,          0,     0.00,          0,     0.00,    1.43354,  -173.75,    1.43396,     6.19,          0,     0.00,          0,     0.00,          0,     0.00,    1.43396,     6.19,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5565092-1,    2.18096,    64.56,          0,     0.00,          0,     0.00,          0,     0.00,    2.18096,    64.56,    2.18098,  -115.44,          0,     0.00,          0,     0.00,          0,     0.00,    2.18098,  -115.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6073648-1,    3.08448,   -55.70,          0,     0.00,          0,     0.00,          0,     0.00,    3.08448,   -55.70,    3.08451,   124.30,          0,     0.00,          0,     0.00,          0,     0.00,    3.08451,   124.30,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774457-1,    30.0604,   -59.83,    24.1146,   178.07,    23.1247,    64.56,          0,     0.00,    4.39552,   -77.61,    30.0608,   120.17,     24.115,    -1.93,    23.1249,  -115.45,          0,     0.00,    4.39552,   102.39,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5534966-3,     11.102,   -59.32,          0,     0.00,          0,     0.00,          0,     0.00,     11.102,   -59.32,    11.1021,   120.68,          0,     0.00,          0,     0.00,          0,     0.00,    11.1021,   120.68,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5859996-1,    2.81002,   178.31,          0,     0.00,          0,     0.00,          0,     0.00,    2.81002,   178.31,    2.81004,    -1.69,          0,     0.00,          0,     0.00,          0,     0.00,    2.81004,    -1.69,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6138610-2,    119.193,   -59.38,    91.3171,   178.28,    105.067,    64.36,          0,     0.00,    15.7504,   -18.91,    119.193,   120.62,    91.3173,    -1.72,    105.067,  -115.64,          0,     0.00,    15.7504,   161.09,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6258435-3,    2.53485,   -59.32,          0,     0.00,          0,     0.00,          0,     0.00,    2.53485,   -59.32,    2.53528,   120.64,          0,     0.00,          0,     0.00,          0,     0.00,    2.53528,   120.64,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
