Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,      69715,    0.0,      1.05, 2,      69715, -120.0,      1.05, 3,      69715,  120.0,      1.05
"_HVMV_SUB_LSB", 12.47, 1,    7552.14,  -34.5,     1.049, 2,    7538.71, -154.3,    1.0471, 3,    7559.08,   85.9,    1.0499
"HVMV_SUB_48332", 12.47, 1,    7552.14,  -34.5,     1.049, 2,     7538.7, -154.3,    1.0471, 3,    7559.08,   85.9,    1.0499
"M1009763", 12.47, 1,    7233.54,  -44.9,    1.0047, 2,     7298.7, -167.2,    1.0138, 3,    7363.48,   79.5,    1.0228
"L2673322", 12.47, 2,    7298.58, -167.2,    1.0138, 0, 0, 0, 0, 0, 0, 0, 0
"M1069148", 12.47, 3,    7415.29,   80.4,      1.03, 0, 0, 0, 0, 0, 0, 0, 0
"L2673309", 12.47, 3,       7415,   80.4,    1.0299, 0, 0, 0, 0, 0, 0, 0, 0
"M1069588", 12.47, 2,     7251.7, -165.4,    1.0072, 0, 0, 0, 0, 0, 0, 0, 0
"L2804270", 12.47, 2,    7251.66, -165.4,    1.0072, 0, 0, 0, 0, 0, 0, 0, 0
"M3036164", 12.47, 2,    7166.89, -167.0,   0.99546, 0, 0, 0, 0, 0, 0, 0, 0
"L2935553", 12.47, 2,    7165.42, -167.0,   0.99526, 0, 0, 0, 0, 0, 0, 0, 0
"M1209749", 12.47, 2,    7375.66, -156.5,    1.0245, 0, 0, 0, 0, 0, 0, 0, 0
"L2748840", 12.47, 2,    7375.44, -156.5,    1.0244, 0, 0, 0, 0, 0, 0, 0, 0
"M1108264", 12.47, 2,    7415.72, -160.5,      1.03, 0, 0, 0, 0, 0, 0, 0, 0
"M1108263", 12.47, 2,    7415.31, -160.5,      1.03, 0, 0, 0, 0, 0, 0, 0, 0
